I_H / mA&I_C / A&$<j>$ / $Akg^{-1}$\\
\hline
0.0&$ \num{1.600(32)e-06}$&$ \num{0.01067(22)}$\\
0.1&$ \num{9.40(19)e-06}$&$ \num{0.0627(13)}$\\
0.2&$ \num{1.690(34)e-05}$&$ \num{0.1127(23)}$\\
0.3&$ \num{2.430(49)e-05}$&$ \num{0.1621(34)}$\\
0.4&$ \num{3.160(63)e-05}$&$ \num{0.2108(44)}$\\
0.5&$ \num{3.860(77)e-05}$&$ \num{0.2575(54)}$\\
0.6&$ \num{4.550(91)e-05}$&$ \num{0.3035(63)}$\\
0.7&$ \num{5.21(10)e-05}$&$ \num{0.3475(72)}$\\
0.8&$ \num{5.87(12)e-05}$&$ \num{0.3915(82)}$\\
0.9&$ \num{6.52(13)e-05}$&$ \num{0.4349(91)}$\\
1.0&$ \num{7.12(14)e-05}$&$ \num{0.4749(99)}$\\
\hline
